data_ref_safra,seller_id,uf,tot_orders_12m,tot_items_12m,tot_items_dist_12m,receita_12m,recencia,nao_revendeu_next_6m
2018-01-01,13d058e4eeac2ce8217660b2f8a05812,SP,15,15,3,2589.8499999999995,17,0
2018-01-01,13f57c12a00ed4610db646b913a7f5c6,SP,4,9,3,370.4,18,0
2018-01-01,13fa2a6c6b9d0f43cb588d7c82117a12,SP,9,10,4,4528.0,93,1
2018-01-01,1430239a858e7682bbc43b20758af153,SP,7,10,8,296.48999999999995,21,0
2018-01-01,1464afc72f696af775557a821c2e253f,RJ,16,17,8,547.6599999999999,19,0
2018-01-01,14d7985702e72162bbf13b6beb74ab2b,SP,18,18,12,2007.0,3,0
2018-01-01,14ee35374a7876217954b5fa08e50463,SP,4,4,2,511.0,17,0
2018-01-01,152ee17e4c8aaf53dac99f3462e4999b,SC,6,6,3,308.96000000000004,78,1
2018-01-01,1554a68530182680ad5c8b042c3ab563,MG,156,171,42,16216.58999999997,8,0
2018-01-01,157c3e4b42f81ac4a44e8b1ca2fe9876,SP,4,7,4,541.5,34,0
2018-01-01,1588ac4010787100dddef64568f0ae35,PR,1,1,1,199.99,9,0
2018-01-01,15aac934c58d886785ac1b17953ea898,ES,11,11,9,1672.0,2,0
2018-01-01,15b3b1b81484422eb41df68ac87f1f50,SP,1,1,1,43.35,36,1
2018-01-01,15cd6eefe58588619aaed41dfa6621b1,MG,7,9,5,522.0999999999999,124,0
2018-01-01,16090f2ca825584b5a147ab24aa30c86,SP,78,78,9,11045.279999999997,12,0
2018-01-01,160e4f13fd3a64b1b86807be88b5ffb0,PR,1,1,1,349.0,46,0
2018-01-01,165fc07beebdcb6190fba8a06db2a449,PR,33,43,15,11792.1,16,0
2018-01-01,1660ad786c27fd935378b6192a90b417,SP,6,6,6,740.0,61,0
2018-01-01,166e8f1381e09651983c38b1f6f91c11,SC,2,2,1,78.8,132,1
2018-01-01,167fd940acebc789debd6eb418c46e38,SP,2,2,2,327.88,10,0
2018-01-01,17306570e772e7718c92a562d33f5f1d,SP,19,22,14,6533.799999999998,13,0
2018-01-01,1746c1ae87ac63d530c7c943d0ac42e2,SP,1,1,1,229.9,19,1
2018-01-01,1771297ac436903d1dd6b0e9279aa505,SP,24,31,8,2687.72,67,0
2018-01-01,1782ce2db72c3dda627d5e7c898104e1,SP,6,7,6,1362.8,12,0
2018-01-01,17908cf9b444ee34047cadd5c0f4a516,GO,3,3,3,594.99,62,0
2018-01-01,17998cf586426bf0f2c3726cb0a4b211,MG,1,1,1,19.9,156,0
2018-01-01,17a053fcb14bd219540cbde0df490be0,SP,34,43,28,11125.259999999991,1,0
2018-01-01,17ca9b9e9b9ef8fdb529001b49ebb50f,MG,39,46,18,3187.6199999999967,0,0
2018-01-01,17e34d8224d27a541263c4c64b11a56b,SP,162,169,79,32711.81,12,0
